[2026-04-09T12:05:29.371Z] GET http://localhost:8000/ → 200 (4ms, 43017B)
[2026-04-09T12:05:29.377Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@300;400;500;600;700&display=swap → 200 (442ms, 8360B)
[2026-04-09T12:05:29.377Z] GET https://cdn.tailwindcss.com/ → 302 (292ms, ?B)
[2026-04-09T12:05:29.377Z] GET https://unpkg.com/lucide@latest → pending (?ms, ?B)
[2026-04-09T12:05:29.669Z] GET https://cdn.tailwindcss.com/3.4.17 → pending (?ms, ?B)
[2026-04-09T12:05:30.331Z] GET https://unpkg.com/lucide@1.8.0/dist/umd/lucide.min.js → 200 (362ms, 397450B)
[2026-04-09T12:05:30.975Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yw.woff2 → pending (?ms, ?B)
[2026-04-09T12:05:51.505Z] GET http://localhost:8000/ → 200 (4ms, 43017B)
[2026-04-09T12:05:51.516Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@300;400;500;600;700&display=swap → 200 (6ms, 8360B)
[2026-04-09T12:05:51.522Z] GET https://cdn.tailwindcss.com/ → 200 (1ms, 407279B)
[2026-04-09T12:05:51.523Z] GET https://unpkg.com/lucide@latest → 200 (?ms, 397450B)
[2026-04-09T12:05:51.612Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yw.woff2 → 200 (?ms, ?B)
